Country Name,Country Code,Series Name,Series Code,Series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023],series_type,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
United States,USA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,GDP,2.09E+13,2.14E+13,2.21E+13,,,,,,,,,,,,,
United States,USA,GDP (constant LCU),NY.GDP.MKTP.KN,GDP,2.09E+13,2.14E+13,2.21E+13,,,,,,,,,,,,,
United States,USA,GDP (current LCU),NY.GDP.MKTP.CN,GDP,2.37E+13,2.60E+13,2.77E+13,,,,,,,,,,,,,
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,GDP,2.37E+13,2.60E+13,2.77E+13,,,,,,,,,,,,,
United States,USA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,GDP,113.2103304,121.2816392,125.6458273,,,,,,,,,,,,,
United States,USA,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,GDP,113.2103304,121.2816392,125.6458273,,,,,,,,,,,,,
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,GDP,6.055052933,2.51237532,2.887556009,,,,,,,,,,,,,
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,GDP,62996.28938,64342.11794,65875.17788,,,,,,,,,,,,,
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,GDP,62996.28938,64342.11794,65875.17788,,,,,,,,,,,,,
United States,USA,GDP per capita (current LCU),NY.GDP.PCAP.CN,GDP,71318.30736,78035.17536,82769.41221,,,,,,,,,,,,,
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,GDP,71318.30736,78035.17536,82769.41221,,,,,,,,,,,,,
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,GDP,5.888314265,2.13636163,2.382669381,,,,,,,,,,,,,
United States,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,GDP,71318.30736,72841.92431,74577.50654,,,,,,,,,,,,,
United States,USA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,GDP,71318.30736,78035.17536,82769.41221,,,,,,,,,,,,,
United States,USA,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,GDP,149677.5556,148984.3277,151285.9913,,,,,,,,,,,,,
United States,USA,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,GDP,..,..,..,,,,,,,,,,,,,
United States,USA,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,GDP,..,..,..,,,,,,,,,,,,,
United States,USA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,GDP,2.37E+13,2.43E+13,2.50E+13,,,,,,,,,,,,,
United States,USA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,GDP,2.37E+13,2.60E+13,2.77E+13,,,,,,,,,,,,,
United States,USA,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,GDP,2.37E+13,2.60E+13,2.77E+13,,,,,,,,,,,,,
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Inflation,4.697858864,8.002799821,4.116338384,,,,,,,,,,,,,
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Inflation,4.565985503,7.129480854,3.598391354,,,,,,,,,,,,,
United States,USA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,Inflation,4.565985503,7.129480854,3.598391354,,,,,,,,,,,,,
United States,USA,Trade (% of GDP),NE.TRD.GNFS.ZS,Trade,25.21365603,26.89168983,24.89936314,,,,,,,,,,,,,
United States,USA,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,Trade,5.805359034,6.394293236,6.402390357,,,,,,,,,,,,,
United States,USA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Foreign direct investment,-1.34E+11,-20472000000,1.05E+11,,,,,,,,,,,,,
United States,USA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Foreign direct investment,2.009212298,1.572590774,1.258207357,,,,,,,,,,,,,
United States,USA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Foreign direct investment,4.76E+11,4.09E+11,3.49E+11,,,,,,,,,,,,,
United States,USA,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Foreign direct investment,1.443991093,1.493873182,1.638067771,,,,,,,,,,,,,
United States,USA,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,Foreign direct investment,3.42E+11,3.89E+11,4.54E+11,,,,,,,,,,,,,
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Government expenditure,5.428299904,..,..,,,,,,,,,,,,,
United States,USA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Government expenditure,..,..,..,,,,,,,,,,,,,
United States,USA,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Government expenditure,..,..,..,,,,,,,,,,,,,
United States,USA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Government expenditure,..,..,..,,,,,,,,,,,,,
United States,USA,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Government expenditure,..,..,..,,,,,,,,,,,,,
United States,USA,Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,Gross national expenditure,112.778323,119.9373267,124.4389885,,,,,,,,,,,,,
United States,USA,Gross national expenditure (current US$),NE.DAB.TOTL.CD,Gross national expenditure,2.45E+13,2.70E+13,2.85E+13,,,,,,,,,,,,,
United States,USA,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Gross national expenditure,2.45E+13,2.70E+13,2.85E+13,,,,,,,,,,,,,
United States,USA,Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Gross national expenditure,2.18E+13,2.25E+13,2.29E+13,,,,,,,,,,,,,
United States,USA,Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,Gross national expenditure,2.18E+13,2.25E+13,2.29E+13,,,,,,,,,,,,,
United States,USA,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Gross national expenditure,103.6317039,103.6872302,102.876337,,,,,,,,,,,,,
United States,USA,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure,1.61E+13,1.77E+13,1.88E+13,,,,,,,,,,,,,
United States,USA,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure,1.44E+13,1.48E+13,1.52E+13,,,,,,,,,,,,,
United States,USA,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure,1.44E+13,1.48E+13,1.52E+13,,,,,,,,,,,,,
United States,USA,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure,1.61E+13,1.77E+13,1.88E+13,,,,,,,,,,,,,
United States,USA,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure,8.771860138,3.036132793,2.530192584,,,,,,,,,,,,,
United States,USA,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Households and NPISHs Final consumption expenditure,68.04538931,68.02366203,67.90147034,,,,,,,,,,,,,
United States,USA,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure,43330.52173,44482.33277,45384.01617,,,,,,,,,,,,,
United States,USA,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure,8.600850134,2.65819797,2.027059598,,,,,,,,,,,,,
United States,USA,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,Households and NPISHs Final consumption expenditure,1.61E+13,1.66E+13,1.70E+13,,,,,,,,,,,,,
United States,USA,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,Households and NPISHs Final consumption expenditure,1.61E+13,1.77E+13,1.88E+13,,,,,,,,,,,,,
United States,USA,Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,Households and NPISHs Final consumption expenditure,1.61E+13,1.77E+13,1.88E+13,,,,,,,,,,,,,
United States,USA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,ICT goods imports,14,12.98,..,,,,,,,,,,,,,
United States,USA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Imports of goods and services,3.42E+12,3.98E+12,3.86E+12,,,,,,,,,,,,,
United States,USA,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Imports of goods and services,3.26E+12,3.54E+12,3.50E+12,,,,,,,,,,,,,
United States,USA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Imports of goods and services,14.67092666,8.593012129,-1.172116348,,,,,,,,,,,,,
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Imports of goods and services,14.42267783,15.28946191,13.88785186,,,,,,,,,,,,,
United States,USA,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Imports of goods and services,3.26E+12,3.54E+12,3.50E+12,,,,,,,,,,,,,
United States,USA,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Imports of goods and services,3.42E+12,3.98E+12,3.85E+12,,,,,,,,,,,,,
United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Imports of goods and services,3.42E+12,3.98E+12,3.85E+12,,,,,,,,,,,,,
United States,USA,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,"Imports of goods, services and primary income",4.35E+12,5.05E+12,5.17E+12,,,,,,,,,,,,,
United States,USA,Interest payments (% of expense),GC.XPN.INTP.ZS,Interest payments,7.88793828,11.50750007,14.27355948,,,,,,,,,,,,,
United States,USA,Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,Interest payments,12.99928208,14.40483819,19.91046667,,,,,,,,,,,,,
United States,USA,Interest payments (current LCU),GC.XPN.INTP.CN,Interest payments,5.75E+11,7.26E+11,9.48E+11,,,,,,,,,,,,,
United States,USA,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Interest rate spread,..,..,..,,,,,,,,,,,,,
United States,USA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"International tourism, expenditures",..,..,..,,,,,,,,,,,,,
United States,USA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,"International tourism, expenditures",..,..,..,,,,,,,,,,,,,
United States,USA,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items",..,..,..,,,,,,,,,,,,,
United States,USA,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,"International tourism, expenditures for travel items",..,..,..,,,,,,,,,,,,,
