Country Name,Country Code,Series Name,Series Code,series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking,100,100,..
United States,USA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,Access to clean fuels and technologies for cooking,100,100,..
United States,USA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,Access to clean fuels and technologies for cooking,100,100,..
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,Access to electricity,100,100,..
United States,USA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Access to electricity,100,100,..
United States,USA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,Access to electricity,100,100,..
United States,USA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Adjusted savings,0,..,..
United States,USA,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Adjusted savings,0,..,..
United States,USA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Adjusted savings,0.815193124,..,..
United States,USA,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Adjusted savings,14313150943,..,..
United States,USA,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Adjusted savings,0.060604998,..,..
United States,USA,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Adjusted savings,1.78E+11,..,..
United States,USA,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Adjusted savings,0.754588126,..,..
United States,USA,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,Adjusted savings,15546091967,..,..
United States,USA,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,Adjusted savings,0.065825539,..,..
United States,USA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Agriculture indicators,..,..,..
United States,USA,Agricultural land (% of land area),AG.LND.AGRI.ZS,Agriculture indicators,45.20971508,45.08515131,..
United States,USA,Agricultural land (sq. km),AG.LND.AGRI.K2,Agriculture indicators,4058103.538,..,..
United States,USA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Agriculture indicators,1.157299141,1.067377202,0.835369769
United States,USA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Agriculture indicators,2.043668024,2.049078157,1.728241601
