Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.936542171,8.870590614,9.399266327
China,CHN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,422.7900552,418.8638989,449.217162
China,CHN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,12621.6147,12526.8263,13259.639
China,CHN,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,15.9153,15.4808,15.0616
China,CHN,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,597.5237,609.6716,655.4274
China,CHN,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,697.8658,678.1146,706.7156
China,CHN,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,2832.323,2725.5225,2874.023
China,CHN,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,1561.9761,1472.2666,1454.067
China,CHN,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,969.4479,929.0863,1077.7615
China,CHN,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,5943.0808,6093.1257,6472.9471
China,CHN,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,3.4822,3.5582,3.6358
China,CHN,Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5,..,..,..
China,CHN,Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5,..,..,..
China,CHN,Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5,..,..,..
China,CHN,Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5,..,..,..
China,CHN,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,..,..,..
China,CHN,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.437921329,0.422175531,0.424583803
China,CHN,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.796252236,0.767622375,0.772001226
China,CHN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,15175.6191,15159.642,15943.9866
China,CHN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,10.74486611,10.7349599,11.30210079
China,CHN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,..,..,..
China,CHN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,15.2,..,..
China,CHN,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,..,..,..
China,CHN,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,2812.9,..,..
China,CHN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,1991.631029,..,..
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,..,..,..
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,..,..,..
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,..
China,CHN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,..
China,CHN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,..
China,CHN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,..,..,..
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..
China,CHN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..
China,CHN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..
China,CHN,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,94.5,95.2,..
China,CHN,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,72.4,75.8,..
China,CHN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,85.9,87.8,..
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,23.63152827,23.83173363,..
China,CHN,Forest area (sq. km),AG.LND.FRST.K2,2218577.5,2237373.2,..
China,CHN,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.070843382,..,..
China,CHN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,15.61604595,15.616046,..
China,CHN,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.063585391,2.099234998,..
China,CHN,Agricultural land (sq. km),AG.LND.AGRI.K2,5206950,..,..
