Country Name,Country Code,Series Name,Series Code,Series_type,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
China,CHN,"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP",DP.DOD.DLDS.CR.MV.BC.Z1,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.BC,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.BC.CD,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.BC.Z1,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.BC,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.BC.CD,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, % of GDP",DP.DOD.DSDS.CR.BC.Z1,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.BC,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.BC.CD,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.BC.CD,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
